"matrikli_nr","eesnimi","perenimi","isikukood","Sugu","Eelnev haridus","Külalisõppija","Välisõppija","Cum laude","Immatrikuleeritud","Lõpetanud","Käskkirja kinnitamise kp","Käskkirja liik","Käskkirja põhjus","Õpperühm","Õppija staatus","Nominaalaja lõpp","Õppevorm","Koormus","Struktuuriüksus","Õppekava","Õppekava EHIS kood","Õppetase","Spetsialiseerumine","Õppeaasta","Rahastamine","Õppekeel","Õppekava täitmise protsent %","Õppijal on erivajadus","Erivajaduse täpsustus","Õpipoisi ettevõte","Ainepunkte kokku","Ainepunkte perioodis","Kaalutud keskmine kokku","Kaalutud keskmine hinne perioodis","Keskmine kokku","Keskmine hinne perioodis","Võlad kokku","Võlad perioodis","Võlapunktid kokku EAP","Võlapunktid perioodis EAP","Deklareeritud ainepunkte perioodis","VÕTA maht","Aktiivne sooritus aines","Õppeaine","Deklareeritud õppeaine","Deklaratsiooni kinnitus perioodis"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","2","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.9","Jah","liikumispuue","NULL","185","30","3.1","4.4","3.3","3.3","4","1","4","10","43","4","Puudulik F","õppeaine79","õppeaine79","29.02.2024"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","2","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.9","Jah","liikumispuue","NULL","185","30","3.1","4.4","3.3","3.3","4","1","4","10","43","4","Rahuldav D","õppeaine24","õppeaine24","09.09.2025"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","2","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.9","Jah","liikumispuue","NULL","185","30","3.1","4.4","3.3","3.3","4","1","4","10","43","4","Hea C","õppeaine39","õppeaine39","29.09.2024"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","2","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.9","Jah","liikumispuue","NULL","185","30","3.1","4.4","3.3","3.3","4","1","4","10","43","4","Hea C","õppeaine3","õppeaine3","12.12.2024"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","2","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.9","Jah","liikumispuue","NULL","185","30","3.1","4.4","3.3","3.3","4","1","4","10","43","4","Mitteilmunud MI","õppeaine68","õppeaine68","28.03.2021"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","2","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.9","Jah","liikumispuue","NULL","185","30","3.1","4.4","3.3","3.3","4","1","4","10","43","4","Hea C","õppeaine78","õppeaine78","21.04.2021"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","2","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.9","Jah","liikumispuue","NULL","185","30","3.1","4.4","3.3","3.3","4","1","4","10","43","4","Suurepärane A","õppeaine4","õppeaine4","29.05.2024"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","3","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.9","Jah","liikumispuue","NULL","185","51","3.1","3.8","3.3","4.0","4","2","4","4","56","4","Kasin E","õppeaine51","õppeaine51","09.04.2023"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","3","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.9","Jah","liikumispuue","NULL","185","51","3.1","3.8","3.3","4.0","4","2","4","4","56","4","Kasin E","õppeaine91","õppeaine91","02.12.2022"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","3","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.9","Jah","liikumispuue","NULL","185","51","3.1","3.8","3.3","4.0","4","2","4","4","56","4","Hea C","õppeaine28","õppeaine28","22.03.2025"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","3","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.9","Jah","liikumispuue","NULL","185","51","3.1","3.8","3.3","4.0","4","2","4","4","56","4","Puudulik F","õppeaine15","õppeaine15","08.05.2025"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","3","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.9","Jah","liikumispuue","NULL","185","51","3.1","3.8","3.3","4.0","4","2","4","4","56","4","Suurepärane A","õppeaine60","õppeaine60","11.06.2023"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","3","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.9","Jah","liikumispuue","NULL","185","51","3.1","3.8","3.3","4.0","4","2","4","4","56","4","Hea C","õppeaine12","õppeaine12","18.08.2023"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","3","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.9","Jah","liikumispuue","NULL","185","51","3.1","3.8","3.3","4.0","4","2","4","4","56","4","Rahuldav D","õppeaine4","õppeaine4","01.11.2022"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","3","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.9","Jah","liikumispuue","NULL","185","51","3.1","3.8","3.3","4.0","4","2","4","4","56","4","Hea C","õppeaine42","õppeaine42","04.10.2024"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","3","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.9","Jah","liikumispuue","NULL","185","51","3.1","3.8","3.3","4.0","4","2","4","4","56","4","Kasin E","õppeaine18","õppeaine18","08.01.2023"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","3","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.9","Jah","liikumispuue","NULL","185","51","3.1","3.8","3.3","4.0","4","2","4","4","56","4","Suurepärane A","õppeaine28","õppeaine28","12.01.2023"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","4","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.6","Jah","liikumispuue","NULL","185","29","3.1","4.4","3.3","3.9","4","3","4","3","27","4","Mittearvestatud MA","õppeaine34","õppeaine34","04.03.2023"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","4","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.6","Jah","liikumispuue","NULL","185","29","3.1","4.4","3.3","3.9","4","3","4","3","27","4","Hea C","õppeaine75","õppeaine75","08.01.2023"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","4","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.6","Jah","liikumispuue","NULL","185","29","3.1","4.4","3.3","3.9","4","3","4","3","27","4","Puudulik F","õppeaine98","õppeaine98","12.07.2021"
"S00001","Pille","Tamm","51206259631","Naine","323 kutsekeskharidus põhihariduse baasil","Jah","Jah","Jah","18.04.2025","NULL","02.11.2020","Õppekoormuse muutmine","Tervislikel põhjustel","O21sügis","Katkestanud","01.12.2021","Eksternõpe","Osakoormus","Õenduse õppetool","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","4","SF programmist „PRÕM“ rahastatav õppekoht: õpipoisiõpe","eesti keel","0.6","Jah","liikumispuue","NULL","185","29","3.1","4.4","3.3","3.9","4","3","4","3","27","4","Arvestatud A","õppeaine42","õppeaine42","06.12.2022"
"S00002","Anna","Pärn","53609056192","Naine","412 kutseõpe keskhariduse baasil","Jah","Ei","Jah","08.12.2021","NULL","04.11.2021","Tugimeetmete rakendamine","NULL","O21sügis","Akadeemilisel","19.10.2020","t","Täiskoormus","Meditsiinitehnilise hariduse keskus","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","1","Üliõpilaselt nõutakse õppekulude hüvitamist tasulisel õppekohal","eesti keel","0.2","Jah","liikumispuue","NULL","184","33","4.9","4.0","5.0","4.9","3","2","17","2","48","9","Puudulik F","õppeaine60","õppeaine60","16.05.2025"
"S00002","Anna","Pärn","53609056192","Naine","412 kutseõpe keskhariduse baasil","Jah","Ei","Jah","08.12.2021","NULL","04.11.2021","Tugimeetmete rakendamine","NULL","O21sügis","Akadeemilisel","19.10.2020","t","Täiskoormus","Meditsiinitehnilise hariduse keskus","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","1","Üliõpilaselt nõutakse õppekulude hüvitamist tasulisel õppekohal","eesti keel","0.2","Jah","liikumispuue","NULL","184","33","4.9","4.0","5.0","4.9","3","2","17","2","48","9","Mittearvestatud MA","õppeaine13","õppeaine13","05.06.2024"
"S00002","Anna","Pärn","53609056192","Naine","412 kutseõpe keskhariduse baasil","Jah","Ei","Jah","08.12.2021","NULL","04.11.2021","Tugimeetmete rakendamine","NULL","O21sügis","Akadeemilisel","19.10.2020","t","Täiskoormus","Meditsiinitehnilise hariduse keskus","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","1","Üliõpilaselt nõutakse õppekulude hüvitamist tasulisel õppekohal","eesti keel","0.2","Jah","liikumispuue","NULL","184","33","4.9","4.0","5.0","4.9","3","2","17","2","48","9","Kasin E","õppeaine46","õppeaine46","31.03.2021"
"S00002","Anna","Pärn","53609056192","Naine","412 kutseõpe keskhariduse baasil","Jah","Ei","Jah","08.12.2021","NULL","04.11.2021","Tugimeetmete rakendamine","NULL","O21sügis","Akadeemilisel","19.10.2020","t","Täiskoormus","Meditsiinitehnilise hariduse keskus","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","1","Üliõpilaselt nõutakse õppekulude hüvitamist tasulisel õppekohal","eesti keel","0.2","Jah","liikumispuue","NULL","184","33","4.9","4.0","5.0","4.9","3","2","17","2","48","9","Suurepärane A","õppeaine18","õppeaine18","29.08.2022"
"S00002","Anna","Pärn","53609056192","Naine","412 kutseõpe keskhariduse baasil","Jah","Ei","Jah","08.12.2021","NULL","04.11.2021","Tugimeetmete rakendamine","NULL","O21sügis","Akadeemilisel","19.10.2020","t","Täiskoormus","Meditsiinitehnilise hariduse keskus","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","1","Üliõpilaselt nõutakse õppekulude hüvitamist tasulisel õppekohal","eesti keel","0.2","Jah","liikumispuue","NULL","184","33","4.9","4.0","5.0","4.9","3","2","17","2","48","9","Mitteilmunud MI","õppeaine50","õppeaine50","23.02.2022"
"S00002","Anna","Pärn","53609056192","Naine","412 kutseõpe keskhariduse baasil","Jah","Ei","Jah","08.12.2021","NULL","04.11.2021","Tugimeetmete rakendamine","NULL","O21sügis","Akadeemilisel","19.10.2020","t","Täiskoormus","Meditsiinitehnilise hariduse keskus","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","1","Üliõpilaselt nõutakse õppekulude hüvitamist tasulisel õppekohal","eesti keel","0.2","Jah","liikumispuue","NULL","184","33","4.9","4.0","5.0","4.9","3","2","17","2","48","9","Suurepärane A","õppeaine81","õppeaine81","12.11.2022"
"S00002","Anna","Pärn","53609056192","Naine","412 kutseõpe keskhariduse baasil","Jah","Ei","Jah","08.12.2021","NULL","04.11.2021","Tugimeetmete rakendamine","NULL","O21sügis","Akadeemilisel","19.10.2020","t","Täiskoormus","Meditsiinitehnilise hariduse keskus","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","1","Üliõpilaselt nõutakse õppekulude hüvitamist tasulisel õppekohal","eesti keel","0.2","Jah","liikumispuue","NULL","184","33","4.9","4.0","5.0","4.9","3","2","17","2","48","9","Suurepärane A","õppeaine76","õppeaine76","16.05.2023"
"S00002","Anna","Pärn","53609056192","Naine","412 kutseõpe keskhariduse baasil","Jah","Ei","Jah","08.12.2021","NULL","04.11.2021","Tugimeetmete rakendamine","NULL","O21sügis","Akadeemilisel","19.10.2020","t","Täiskoormus","Meditsiinitehnilise hariduse keskus","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","1","Üliõpilaselt nõutakse õppekulude hüvitamist tasulisel õppekohal","eesti keel","0.2","Jah","liikumispuue","NULL","184","33","4.9","4.0","5.0","4.9","3","2","17","2","48","9","Hea C","õppeaine67","õppeaine67","30.10.2021"
"S00002","Anna","Pärn","53609056192","Naine","412 kutseõpe keskhariduse baasil","Jah","Ei","Jah","08.12.2021","NULL","04.11.2021","Tugimeetmete rakendamine","NULL","O21sügis","Akadeemilisel","19.10.2020","t","Täiskoormus","Meditsiinitehnilise hariduse keskus","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","1","Üliõpilaselt nõutakse õppekulude hüvitamist tasulisel õppekohal","eesti keel","0.2","Jah","liikumispuue","NULL","184","33","4.9","4.0","5.0","4.9","3","2","17","2","48","9","Mitteilmunud MI","õppeaine7","õppeaine7","12.06.2021"
"S00002","Anna","Pärn","53609056192","Naine","412 kutseõpe keskhariduse baasil","Jah","Ei","Jah","08.12.2021","NULL","04.11.2021","Tugimeetmete rakendamine","NULL","O21sügis","Akadeemilisel","19.10.2020","t","Täiskoormus","Meditsiinitehnilise hariduse keskus","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","1","Üliõpilaselt nõutakse õppekulude hüvitamist tasulisel õppekohal","eesti keel","0.2","Jah","liikumispuue","NULL","184","33","4.9","4.0","5.0","4.9","3","2","17","2","48","9","Kasin E","õppeaine36","õppeaine36","29.12.2020"
"S00002","Anna","Pärn","53609056192","Naine","412 kutseõpe keskhariduse baasil","Jah","Ei","Jah","08.12.2021","NULL","04.11.2021","Tugimeetmete rakendamine","NULL","O21sügis","Akadeemilisel","19.10.2020","t","Täiskoormus","Meditsiinitehnilise hariduse keskus","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","1","Üliõpilaselt nõutakse õppekulude hüvitamist tasulisel õppekohal","eesti keel","0.2","Jah","liikumispuue","NULL","184","33","4.9","4.0","5.0","4.9","3","2","17","2","48","9","Kasin E","õppeaine38","õppeaine38","07.06.2023"
"S00002","Anna","Pärn","53609056192","Naine","412 kutseõpe keskhariduse baasil","Jah","Ei","Jah","08.12.2021","NULL","04.11.2021","Tugimeetmete rakendamine","NULL","O21sügis","Akadeemilisel","19.10.2020","t","Täiskoormus","Meditsiinitehnilise hariduse keskus","Tegevusterapeut","3311","514 rakenduskõrgharidusõpe","NULL","1","Üliõpilaselt nõutakse õppekulude hüvitamist tasulisel õppekohal","eesti keel","0.2","Jah","liikumispuue","NULL","184","33","4.9","4.0","5.0","4.9","3","2","17","2","48","9","Arvestatud A","õppeaine56","õppeaine56","18.04.2021"
